Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
ES;ESA64728041;7022;AD;AD32845;30138;1;7588;8128
ES;ESB17268491;6622;AD;AD32845;3789596;40;169929;336782
PT;PT500188297;1712;AE;AE*110008198821;13166873;84;10155792;161008
GB;GB00040946;9312;AE;AE*915265837;428258386;314;428008731;-28338229
GB;GB02473227;6832;AE;AE*B000071523;2014474;14;37281;122128
BE;BE0432746692;2016;AE;AE0000055630;54597631;174;51787654;3526505
BE;BE0472876879;2014;AE;AE0000055630;21564955;103;12964706;1067854
DE;DE3210146250;2540;AE;AE0000055630;5672965;3;103884;17859
ES;ESA11906773;4671;AE;AE0000055630;28555219;60;9918180;2864147
ES;ESA28017184;610;AE;AE0000055630;79852350;291;175260;5093650
ES;ESA28142552;3514;AE;AE0000055630;127848023;30;39929621;7374823
ES;ESA35122779;5224;AE;AE0000055630;36620434;67;63199181;-449707
ES;ESA35146034;5223;AE;AE0000055630;10154638;43;6653157;2271114
ES;ESA80298896;4671;AE;AE0000055630;4779319000;854;703602000;118303000
ES;ESA81861122;2014;AE;AE0000055630;3703039000;697;265422000;118391000
ES;ESA82829110;610;AE;AE0000055630;487686000;315;442500000;351244000
ES;ESB24325557;4671;AE;AE0000055630;105830015;72;1289908;1297525
ES;ESB83743815;5223;AE;AE0000055630;15247863;110;2108592;2039710
FR;FR421454406;2015;AE;AE0000055630;391394899;687;326229934;-80482673
FR;FR611780198;4675;AE;AE0000055630;7644620;35;1454781;250933
NL;NL27149802;610;AE;AE0000055630;354180000;151;738647000;63565000
SE;SE5560786633;2016;AE;AE0000055630;247248620;904;725446082;6714993
BE;BE0429902119;5224;AE;AE0000112717;9865516;51;6022;-1543079
BE;BE0456289186;5224;AE;AE0000112717;8587594;48;2188472;-164055
BE;BE0471853134;5224;AE;AE0000112717;46247311;89;843428;-308779
BE;BE0835042019;5224;AE;AE0000112717;1245120;5;3124369;-1310955
GB;GB02997941;7010;AE;AE0000112717;378985909;3809;51634551;41429769
GB;GB03091040;5210;AE;AE0000112717;108643008;1803;28666564;-1508830
GB;GB03886762;;AE;AE0000112717;151017699;447;2339524;8351000
GB;GB04524355;7490;AE;AE0000112717;31510382;49;1029734;2274157
GB;GB05263204;7912;AE;AE0000112717;250110014;316;639650;8373224
GB;GB05874716;7010;AE;AE0000112717;59809061;433;1417169;-3902591
GB;GB06412956;7911;AE;AE0000112717;15694121;332;2084021;-2046880
GB;GB07854084;5229;AE;AE0000112717;1189700;1;17355;-219419
GB;GBNI00R472;5030;AE;AE0000112717;7110437;30;12665345;3568717
GB;GB05751533;5610;AE;AE0000346224;1885503;60;8359;59706
GB;GB08359817;9319;AE;AE0000347341;5530707;100;81570;-16191685
GB;GB08359835;9319;AE;AE0000347341;7888827;63;191566;-15828327
GB;GB08570537;9312;AE;AE0000347341;376953;11;2472;-80334
DE;DE4050219475;7210;AE;AECP0000018175;80537044;533;12800710;13001817
ES;ESB86601036;1091;AE;AECP0001016159;113119641;91;17939670;1259974
FR;FR408310720;4772;AL;AL*1153926545;782718;6;56364;36363
FR;FR488422130;4772;AL;AL*1153926545;6480000;10;21178;664332
FR;FR552051104;4771;AL;AL*1153926545;1449228;4;249853;26573
FR;FR650801665;4772;AL;AL*1153926545;957100;5;63030;129633
PL;PL320328081;6820;AM;AM*470093802;1162022;10;5416978;141613
PL;PL320329318;6820;AM;AM*470093802;338649;8;1274514;102628
PL;PL320367052;4110;AM;AM*470093802;829949;11;2999934;216059
PL;PL320371190;6820;AM;AM*470093802;148537;12;1332018;28889
PL;PL320606479;6820;AM;AM*470093802;486599;5;1477402;60152
PT;PT500013799;7022;AO;AO*904632447;4995471;64;708582;63011
PT;PT501335900;4399;AO;AO*904632447;7396886;115;137062;-2478990
PT;PT505924170;4120;AO;AO*904632447;267559051;1062;112819640;-60523927
PT;PT500225702;6820;AO;AOC266335993;183392;1;4523088;-306114
PT;PT502700823;4321;AO;AOC266335993;19343550;203;39828;492829
PT;PT504399829;6420;AO;AOC266335993;104180;1;1;15868
FR;FR314525999;4634;AR;AR*1041337783;293029;3;21298;10559
FR;FR554801944;1102;AR;AR*1041337783;1633261;10;132861;-26823
LV;LV010335975;4771;AR;AR*110002248513;215954;9;91250;-142478
FR;FR439586199;4711;AR;AR*1147025416;10108583;37;256834;6051
DE;DE2012211665;5610;AT;AT*110000078094;14377886;118;429740;1391779
PL;PL013244611;7112;AT;AT*110005687020;12911411;200;336536;-39924
DE;DE8250000316;4642;AT;AT*110005847147;55055294;202;862903;2227515
DE;DE8250056920;4649;AT;AT*110005865688;2961371;7;71455;105133
PL;PL015497109;4941;AT;AT*110008163751;8502161;38;95818;346634
AT;AT9050042513;5811;AT;AT*110008721057;331800;42;865814;861368
DE;DE7210128473;700;AT;AT*110009219308;27956356;98;1895784;4173233
DE;DE8250251054;2120;AT;AT*110009255807;304869778;43;128326;22615345
