Country;PL before;CCTB
ES;12314435604;22827191614.940865
PT;-126757547;186701573.88960043
DE;26723114263;39979708486.610054
GB;69401891049;46930904174.29083
BE;7621875247;6694957828.344084
FR;31043443352;40422323566.81053
LU;1180852741;1162408913.8087652
NL;56325228711;34378162685.24017
SE;16957302897;19883253946.02418
MT;1376656515;646319006.3305479
PL;3210075422;9206837708.415537
CZ;2742878503;1823927319.8393798
LV;179822454;272870762.7398353
AT;7939061042;6666938885.852902
SK;870675924;1687076034.4129891
EE;434615566;557510375.3118478
DK;6040812987;5051513889.65555
SI;130935810;352492164.2374031
LT;-308457973;355602977.87031996
HU;446578938;3655035545.926597
FI;3128537697;3389966204.738185
IE;2074204059;2486625060.250442
GR;-95248926;687069316.9085429
CY;173147401;480283693.55075955
