Country;PL before;CCTB;Data factor
ES;12314435604,00;22827191614,94;21612823160,64
PT;-126757547,00;186701573,89;1742006277,59
DE;26723114263,00;39979708486,61;36131926983,12
GB;69401891049,00;46930904174,29;42660960885,82
BE;7621875247,00;6694957828,34;9950283714,10
FR;31043443352,00;40422323566,81;37700685843,60
LU;1180852741,00;1162408913,81;1512588036,71
NL;56325228711,00;34378162685,24;32666240843,04
SE;16957302897,00;19883253946,02;19388432720,13
MT;1376656515,00;646319006,33;670993494,09
PL;3210075422,00;9206837708,42;9664504879,42
CZ;2742878503,00;1823927319,84;3635799929,29
LV;179822454,00;272870762,74;510854040,79
AT;7939061042,00;6666938885,85;6863098217,38
SK;870675924,00;1687076034,41;2524405755,67
EE;434615566,00;557510375,31;696893379,06
DK;6040812987,00;5051513889,66;6558497333,83
SI;130935810,00;352492164,24;716616937,74
LT;-308457973,00;355602977,87;444054156,52
HU;446578938,00;3655035545,93;4244248497,58
FI;3128537697,00;3389966204,74;4222411637,64
IE;2074204059,00;2486625060,25;4513512282,62
GR;-95248926,00;687069316,91;609544585,28
CY;173147401,00;480283693,55;544298144,36
