GUO;Country ISO code
AD32845;ES
AE*110008198821;PT
AE*110013840359;DE
AE*915265837;GB
AE*B000071523;GB
AE*B000077124;GB
AE0000055630;ES
AE0000112717;GB
AE0000346224;GB
AE0000347341;GB
AECP0000018175;MT
AECP0001016159;ES
AL*1153926545;FR
AM*470093802;PL
AM*491805585;CZ
AO*904632447;PT
AOC266335993;PT
AR*1041337783;FR
AR*110002248513;LV
AR*1147025416;FR
AR*771277713;AT
AU*110015554129;GB
AU*110021562298;GB
AU*110022992141;GB
AU*1880050938;GB
AU*1880172680;PL
AU*1881526740;EE
AU*1882445300;GB
AU*1883677293;GB
AU*1883810094;NL
AU*B000012388;GB
AU*B000049963;ES
AU*B000087980;GB
AU000005103;DE
AU000017372;GB
AU000226228;GB
AU000431827;ES
AU001288768;GB
AU002585391;GB
AU002818368;GB
AU002875381;FR
AU003174409;IE
AU003237545;SI
AU003255221;FR
AU003377188;GB
AU003835112;GB
AU003872848;GB
AU004028077;GB
AU004044937;GB
AU004085330;GB
AU004145868;DE
AU004196909;BE
AU004373862;GB
AU005146350;DE
AU005357522;GB
AU005485825;GB
AU006727966;GB
AU007457141;GB
AU007550923;GB
AU008485014;CZ
AU008947813;SE
AU009519206;SE
AU009657489;GB
AU010488874;GB
AU050611642;GB
AU051588348;DE
AU051775556;GB
AU052947743;FR
AU054742264;GB
AU057186035;DE
AU060313359;GB
AU066450397;ES
AU066537693;GB
AU073436414;GB
AU078166122;DE
AU078716944;GB
AU079354519;GB
AU082341197;GB
AU083194763;GB
AU086711739;DE
AU089058293;GB
AU090996455;DK
AU091323312;FR
AU091524515;GB
AU092319698;GB
AU096090158;GB
AU097297400;GB
AU098405826;GB
AU099862129;SE
AU106773059;GB
AU107233983;GB
AU107555046;DK
AU108112303;GB
AU108230995;GB
AU108686040;GB
AU109613309;GB
AU114838630;DE
AU116537832;GB
AU116931250;IE
AU118896021;GB
AU122058708;GB
AU122169279;IE
AU123052728;NL
AU123123124;GB
AU125419730;GB
AU126905726;GB
AU154229562;GB
AU166995197;GB
AU169944334;GB
AU20501AA;GB
AU31780AA;LU
AU31812AA;FR
AU32716AA;GB
AUP004035746;GB
AUP006133913;GB
AZ*110002255045;LV
AZ*110019295713;CZ
AZ*490175758;CZ
BA*110005078138;DE
BA*651069971;SI
BA4200050330005;AT
BH36403;GB
BH44136;GB
BM*B000037510;GB
BM*B000082244;GB
BM*B000087125;GB
BM0000037401;IE
BM0000072124;GB
BM0000115049;GB
BM0000121102;GB
BM0000197298;GB
BM0000216406;FR
BM0000264628;GB
BM0000275037;GB
BM0000277089;GB
BM0000324758;GB
BM0000357747;GB
BM0000370325;GB
BM0000399734;GB
BM0000414255;GB
BM0000467997;GB
BM0000477437;FR
BM12474;GB
BM30004OR;NL
BM30004WN;FR
BM30044WU;NL
BM30075WU;IE
BM30114FH;PT
BM30122FH;GB
BM30210EX;GB
BM30220FH;DE
BM30381FH;FR
BM30397WU;FR
BM30405FH;NL
BM30406WU;GB
BM30488FH;FR
BM31024FH;FR
BM34796NU;ES
BM39054;FR
BM40013WU;GB
BM40021WU;GB
BM40022WU;GB
BM40039WU;GB
BM40047WU;GB
BM40064WU;GB
BM40069WU;GB
BM40074WU;NL
BM40077WU;GB
BM40100NU;IE
BM90022FH;GB
BM91157EX;GB
BMD765291778;DE
BMFEI1007690;GB
BMFEI1011588;GB
BMFEI1016360;GB
BNLEI146483;GB
BR*1146900188;FR
