Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L;E Faktor
BE;BE0432746692;2016;AE;AE0000055630;54597631;174;51787654;3526505;32
BE;BE0472876879;2014;AE;AE0000055630;21564955;103;12964706;1067854;32
DE;DE3210146250;2540;AE;AE0000055630;5672965;3;103884;17859;14
ES;ESA11906773;4671;AE;AE0000055630;28555219;60;9918180;2864147;17
ES;ESA28017184;610;AE;AE0000055630;79852350;291;175260;5093650;17
ES;ESA28142552;3514;AE;AE0000055630;127848023;30;39929621;7374823;17
ES;ESA35122779;5224;AE;AE0000055630;36620434;67;63199181;-449707;17
ES;ESA35146034;5223;AE;AE0000055630;10154638;43;6653157;2271114;17
ES;ESA80298896;4671;AE;AE0000055630;4779319000;854;703602000;118303000;17
ES;ESA81861122;2014;AE;AE0000055630;3703039000;697;265422000;118391000;17
ES;ESA82829110;610;AE;AE0000055630;487686000;315;442500000;351244000;17
ES;ESA84406511;6820;AE;AE0000055630;7144059;1;1;-18772407;17
ES;ESA84601939;6820;AE;AE0000055630;9939380;1;1;315021;17
ES;ESA85092906;610;AE;AE0000055630;1;29;1637896;-12297497;17
ES;ESA85981124;3514;AE;AE0000055630;2344667;1;1;-401966;17
ES;ESA86597325;4671;AE;AE0000055630;18965201480;56;1;19683110;17
ES;ESA86894433;8211;AE;AE0000055630;19516000;255;1;766000;17
ES;ESB24325557;4671;AE;AE0000055630;105830015;72;1289908;1297525;17
ES;ESB83743815;5223;AE;AE0000055630;15247863;110;2108592;2039710;17
FR;FR421454406;2015;AE;AE0000055630;391394899;687;326229934;-80482673;22
FR;FR611780198;4675;AE;AE0000055630;7644620;35;1454781;250933;22
FR;FR790175624;6420;AE;AE0000055630;1;1;1;-4916;22
FR;FR946750981;2015;AE;AE0000055630;171389616;1;26489063;27672601;22
LU;LULB132723;8290;AE;AE0000055630;-1000;1;1;12277000;15
LU;LULB66944;8290;AE;AE0000055630;1;1;1;17497000;15
NL;NL27149802;610;AE;AE0000055630;354180000;151;738647000;63565000;15
NL;NL33176580;6420;AE;AE0000055630;1;5;1;-451532;15
NL;NL34316285;4651;AE;AE0000055630;1610945516;2;1;6989507;15
NL;NL34316288;6420;AE;AE0000055630;331;1;1;-2694223;15
NL;NL55247547;7010;AE;AE0000055630;1;3;1;10404410;15
NL;NL56400470;990;AE;AE0000055630;1;113;172288853;-8800753;15
SE;SE5560786633;2016;AE;AE0000055630;247248620;904;725446082;6714993;24
BE;BE0406685960;5224;AE;AE0000112717;355234;4;1;8842;32
BE;BE0429902119;5224;AE;AE0000112717;9865516;51;6022;-1543079;32
BE;BE0456289186;5224;AE;AE0000112717;8587594;48;2188472;-164055;32
